170.79.89.102 - - [30/Jan/2019:01:26:30 +0300] "GET / HTTP/1.1" 200 32966
191.96.214.1 - - [30/Jan/2019:01:36:59 +0300] "GET / HTTP/1.0" 200 32923
217.147.1.87 - - [30/Jan/2019:02:20:34 +0300] "GET / HTTP/1.1" 200 32966
217.147.1.87 - - [30/Jan/2019:02:20:35 +0300] "GET /HNAP1/ HTTP/1.1" 404 1084
71.6.232.4 - - [30/Jan/2019:03:13:05 +0300] "GET / HTTP/1.1" 200 32966
202.136.88.68 - - [30/Jan/2019:04:39:37 +0300] "GET / HTTP/1.1" 200 32966
192.162.208.40 - - [30/Jan/2019:04:45:20 +0300] "GET / HTTP/1.1" 200 32966
118.89.48.223 - - [30/Jan/2019:05:16:19 +0300] "POST /phpmyadmin/index.php HTTP/1.1" 404 1098
125.212.217.215 - - [30/Jan/2019:05:40:56 +0300] "GET / HTTP/1.1" 200 32966
125.212.217.215 - - [30/Jan/2019:05:40:58 +0300] "GET /robots.txt HTTP/1.1" 404 1084
125.212.217.215 - - [30/Jan/2019:05:41:00 +0300] "GET /sitemap.xml HTTP/1.1" 404 1085
125.212.217.215 - - [30/Jan/2019:05:41:02 +0300] "GET /.well-known/security.txt HTTP/1.1" 404 1102
125.212.217.215 - - [30/Jan/2019:05:41:04 +0300] "GET /assets/img/favicon.ico HTTP/1.1" 404 1104
142.93.216.174 - - [30/Jan/2019:05:47:15 +0300] "GET /muieblackcat HTTP/1.1" 404 1086
142.93.216.174 - - [30/Jan/2019:05:47:15 +0300] "GET //phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1115
142.93.216.174 - - [30/Jan/2019:05:47:16 +0300] "GET //phpmyadmin/scripts/setup.php HTTP/1.1" 404 1115
142.93.216.174 - - [30/Jan/2019:05:47:16 +0300] "GET //pma/scripts/setup.php HTTP/1.1" 404 1108
142.93.216.174 - - [30/Jan/2019:05:47:17 +0300] "GET //myadmin/scripts/setup.php HTTP/1.1" 404 1112
142.93.216.174 - - [30/Jan/2019:05:47:18 +0300] "GET //MyAdmin/scripts/setup.php HTTP/1.1" 404 1112
190.184.144.212 - - [30/Jan/2019:07:28:31 +0300] "GET / HTTP/1.1" 200 32966
103.10.61.90 - - [30/Jan/2019:08:52:59 +0300] "GET / HTTP/1.1" 200 32966
62.24.122.22 - - [30/Jan/2019:09:59:02 +0300] "GET /aua/ HTTP/1.1" 200 32966
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/img/logo/openbaraza-logo.png HTTP/1.1" 200 13119
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/css/base.css HTTP/1.1" 200 1182
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/layerslider/css/layerslider.css HTTP/1.1" 200 15822
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/css/tabs.css HTTP/1.1" 200 3424
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/plugins/register/jquery.qtip.custom/jquery.qtip.min.css HTTP/1.1" 200 8982
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/layerslider/skins/v5/skin.css HTTP/1.1" 200 3146
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/css/register/custom.css HTTP/1.1" 200 2245
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/jquery-1.11.2.min.js HTTP/1.1" 200 95939
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/common_scripts_min.js HTTP/1.1" 200 158663
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/functions.js HTTP/1.1" 200 5604
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/validate.js HTTP/1.1" 200 15132
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/layerslider/js/greensock.js HTTP/1.1" 200 53041
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/layerslider/js/layerslider.transitions.js HTTP/1.1" 200 21111
62.24.122.22 - - [30/Jan/2019:09:59:03 +0300] "GET /aua/assets/js/layerslider/js/layerslider.kreaturamedia.jquery.js HTTP/1.1" 200 56437
62.24.122.22 - - [30/Jan/2019:09:59:04 +0300] "GET /aua/assets/js/tabs.js HTTP/1.1" 200 2063
62.24.122.22 - - [30/Jan/2019:09:59:04 +0300] "GET /aua/assets/plugins/register/jquery.qtip.custom/jquery.qtip.js HTTP/1.1" 200 102744
62.24.122.22 - - [30/Jan/2019:09:59:04 +0300] "GET /aua/assets/fonts/proxima/fonts.min.css HTTP/1.1" 200 3326
62.24.122.22 - - [30/Jan/2019:09:59:04 +0300] "GET /aua/assets/css/animate.min.css HTTP/1.1" 200 53436
62.24.122.22 - - [30/Jan/2019:09:59:04 +0300] "GET /aua/assets/css/bootstrap.min.css HTTP/1.1" 200 122544
62.24.122.22 - - [30/Jan/2019:09:59:05 +0300] "GET /aua/assets/css/menu.css HTTP/1.1" 200 8371
62.24.122.22 - - [30/Jan/2019:09:59:05 +0300] "GET /aua/assets/css/style.css HTTP/1.1" 200 34247
62.24.122.22 - - [30/Jan/2019:09:59:05 +0300] "GET /aua/assets/css/responsive.css HTTP/1.1" 200 4318
62.24.122.22 - - [30/Jan/2019:09:59:05 +0300] "GET /aua/assets/fonts/elegant_font/elegant_font.min.css HTTP/1.1" 200 21750
62.24.122.22 - - [30/Jan/2019:09:59:06 +0300] "GET /aua/assets/fonts/icon_font/pe-icon-7-stroke.min.css HTTP/1.1" 200 11124
62.24.122.22 - - [30/Jan/2019:09:59:06 +0300] "GET /aua/assets/fonts/fontella/css/fontello.min.css HTTP/1.1" 200 105208
62.24.122.22 - - [30/Jan/2019:09:59:06 +0300] "GET /aua/assets/fonts/edu_fonts/edu_fonts.min.css HTTP/1.1" 200 1781
62.24.122.22 - - [30/Jan/2019:09:59:06 +0300] "GET /aua/assets/css/magnific-popup.css HTTP/1.1" 200 10118
62.24.122.22 - - [30/Jan/2019:09:59:06 +0300] "GET /aua/assets/css/custom.css HTTP/1.1" 200 25
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/img/slides/slide_1.jpg HTTP/1.1" 200 96150
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/img/slides/slide_2.jpg HTTP/1.1" 200 104154
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/img/slides/slide_3.jpg HTTP/1.1" 200 127233
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/img/slides/slide_4.jpg HTTP/1.1" 200 67452
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/img/event_2_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/img/event_1_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/fonts/elegant_font/fonts/ElegantIcons.woff HTTP/1.1" 200 63664
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/fonts/icon_font/Pe-icon-7-stroke.woff?d7yf1v HTTP/1.1" 200 58556
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/img/event_3_thumb.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/assets/img/graphic.jpg HTTP/1.1" 200 61403
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/img/testimonial_1.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [30/Jan/2019:09:59:09 +0300] "GET /aua/img/testimonial_2.jpg HTTP/1.1" 404 1107
62.24.122.22 - - [30/Jan/2019:09:59:10 +0300] "GET /aua/layerslider/css/blank.gif HTTP/1.1" 200 49
62.24.122.22 - - [30/Jan/2019:09:59:10 +0300] "GET /aua/layerslider/skins/v5/skin.png HTTP/1.1" 200 6761
62.24.122.22 - - [30/Jan/2019:09:59:10 +0300] "GET /aua/assets/img/slides/slide_1.jpg HTTP/1.1" 200 96150
62.24.122.22 - - [30/Jan/2019:09:59:10 +0300] "GET /aua/layerslider/skins/v5/loading.gif HTTP/1.1" 200 4406
62.24.122.22 - - [30/Jan/2019:09:59:11 +0300] "GET /aua/assets/img/favicon.ico HTTP/1.1" 404 1112
62.24.122.22 - - [30/Jan/2019:09:59:11 +0300] "GET /aua/assets/img/apple-touch-icon-144x144-precomposed.png HTTP/1.1" 404 1141
62.24.122.22 - - [30/Jan/2019:09:59:11 +0300] "GET /aua/assets/img/slides/slide_2.jpg HTTP/1.1" 200 104154
62.24.122.22 - - [30/Jan/2019:09:59:13 +0300] "GET /aua/img/course_6_thumb.jpg HTTP/1.1" 404 1108
62.24.122.22 - - [30/Jan/2019:09:59:18 +0300] "GET /aua/assets/img/slides/slide_3.jpg HTTP/1.1" 200 127233
62.24.122.22 - - [30/Jan/2019:09:59:21 +0300] "GET /aua/c_umis.jsp HTTP/1.1" 200 16236
62.24.122.22 - - [30/Jan/2019:09:59:21 +0300] "GET /aua/assets/css/base.css HTTP/1.1" 200 1182
62.24.122.22 - - [30/Jan/2019:09:59:21 +0300] "GET /aua/assets/css/tabs.css HTTP/1.1" 200 3424
62.24.122.22 - - [30/Jan/2019:09:59:22 +0300] "GET /aua/assets/img/header_bg_1.jpg HTTP/1.1" 200 70907
62.24.122.22 - - [30/Jan/2019:09:59:22 +0300] "GET /aua/assets/js/jquery-1.11.2.min.js HTTP/1.1" 200 95939
62.24.122.22 - - [30/Jan/2019:09:59:24 +0300] "GET /aua/assets/img/apple-touch-icon-144x144-precomposed.png HTTP/1.1" 404 1141
62.24.122.22 - - [30/Jan/2019:09:59:24 +0300] "GET /aua/assets/img/favicon.ico HTTP/1.1" 404 1112
62.24.122.22 - - [30/Jan/2019:09:59:28 +0300] "POST /aua/j_security_check HTTP/1.1" 303 -
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/c_umis.jsp HTTP/1.1" 200 61198
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 200 10851
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/bootstrap-daterangepicker/daterangepicker-bs3.css HTTP/1.1" 200 5665
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/fullcalendar/fullcalendar.min.css HTTP/1.1" 200 10067
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/jqvmap.css HTTP/1.1" 200 907
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/morris/morris.css HTTP/1.1" 200 433
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/admin/pages/css/tasks.css HTTP/1.1" 200 1809
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/clockface/css/clockface.css HTTP/1.1" 200 5861
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/bootstrap-timepicker/css/bootstrap-timepicker.min.css HTTP/1.1" 200 3061
62.24.122.22 - root [30/Jan/2019:09:59:29 +0300] "GET /aua/assets/global/plugins/bootstrap-colorpicker/css/colorpicker.css HTTP/1.1" 200 2412
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/bootstrap-datetimepicker/css/bootstrap-datetimepicker.min.css HTTP/1.1" 200 9444
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/bootstrap-datepicker/css/bootstrap-datepicker3.min.css HTTP/1.1" 200 31438
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/jquery-tags-input/jquery.tagsinput.css HTTP/1.1" 200 904
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/select2/select2.css HTTP/1.1" 200 18705
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/jquery-multi-select/css/multi-select.css HTTP/1.1" 200 2425
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/bootstrap-toastr/toastr.min.css HTTP/1.1" 200 5620
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/bootstrap-fileinput/bootstrap-fileinput.css HTTP/1.1" 200 2484
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/admin/pages/css/profile.css HTTP/1.1" 200 2679
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/jstree/dist/themes/default/style.min.css HTTP/1.1" 200 23030
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/css/jquery.fileupload.css HTTP/1.1" 200 655
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/css/components-rounded.css HTTP/1.1" 200 373366
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/global/css/plugins.css HTTP/1.1" 200 50628
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/admin/layout4/css/layout.css HTTP/1.1" 200 50717
62.24.122.22 - root [30/Jan/2019:09:59:30 +0300] "GET /aua/assets/admin/layout4/css/themes/light.css HTTP/1.1" 200 20275
62.24.122.22 - root [30/Jan/2019:09:59:31 +0300] "GET /aua/assets/global/plugins/jquery-ui/jquery-ui-1.10.3.custom.min.css HTTP/1.1" 200 27155
62.24.122.22 - root [30/Jan/2019:09:59:31 +0300] "GET /aua/assets/jqgrid/css/ui.jqgrid.css HTTP/1.1" 200 10655
62.24.122.22 - root [30/Jan/2019:09:59:31 +0300] "GET /aua/assets/jsgrid/jsgrid.min.css HTTP/1.1" 200 1802
62.24.122.22 - root [30/Jan/2019:09:59:31 +0300] "GET /aua/assets/jsgrid/jsgrid-theme.min.css HTTP/1.1" 200 33450
62.24.122.22 - root [30/Jan/2019:09:59:31 +0300] "GET /aua/assets/admin/layout4/css/custom.css HTTP/1.1" 200 9646
62.24.122.22 - root [30/Jan/2019:09:59:32 +0300] "GET /aua/assets/global/plugins/jquery.min.js HTTP/1.1" 200 95933
62.24.122.22 - root [30/Jan/2019:09:59:32 +0300] "GET /aua/assets/global/plugins/jquery-migrate.min.js HTTP/1.1" 200 7200
62.24.122.22 - root [30/Jan/2019:09:59:32 +0300] "GET /aua/assets/global/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 200 239564
62.24.122.22 - root [30/Jan/2019:09:59:33 +0300] "GET /aua/assets/global/plugins/bootstrap-hover-dropdown/bootstrap-hover-dropdown.min.js HTTP/1.1" 200 1539
62.24.122.22 - root [30/Jan/2019:09:59:33 +0300] "GET /aua/assets/global/plugins/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 35951
62.24.122.22 - root [30/Jan/2019:09:59:33 +0300] "GET /aua/assets/global/plugins/jquery-slimscroll/jquery.slimscroll.min.js HTTP/1.1" 200 5175
62.24.122.22 - root [30/Jan/2019:09:59:33 +0300] "GET /aua/assets/global/plugins/jquery.blockui.min.js HTTP/1.1" 200 9544
62.24.122.22 - root [30/Jan/2019:09:59:34 +0300] "GET /aua/assets/global/plugins/jquery.cokie.min.js HTTP/1.1" 200 1392
62.24.122.22 - root [30/Jan/2019:09:59:34 +0300] "GET /aua/assets/global/plugins/uniform/jquery.uniform.min.js HTTP/1.1" 200 8308
62.24.122.22 - root [30/Jan/2019:09:59:34 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/js/bootstrap-switch.min.js HTTP/1.1" 200 14903
62.24.122.22 - root [30/Jan/2019:09:59:34 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/jquery.vmap.js HTTP/1.1" 200 27554
62.24.122.22 - root [30/Jan/2019:09:59:34 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.russia.js HTTP/1.1" 200 157651
62.24.122.22 - root [30/Jan/2019:09:59:35 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.world.js HTTP/1.1" 200 60600
62.24.122.22 - root [30/Jan/2019:09:59:35 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.europe.js HTTP/1.1" 200 97655
62.24.122.22 - root [30/Jan/2019:09:59:36 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.germany.js HTTP/1.1" 200 55443
62.24.122.22 - root [30/Jan/2019:09:59:38 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/data/jquery.vmap.sampledata.js HTTP/1.1" 200 2386
62.24.122.22 - root [30/Jan/2019:09:59:38 +0300] "GET /aua/assets/global/plugins/bootstrap-timepicker/js/bootstrap-timepicker.min.js HTTP/1.1" 200 17095
62.24.122.22 - root [30/Jan/2019:09:59:38 +0300] "GET /aua/assets/global/plugins/bootstrap-datetimepicker/js/bootstrap-datetimepicker.min.js HTTP/1.1" 200 30657
62.24.122.22 - root [30/Jan/2019:09:59:38 +0300] "GET /aua/assets/global/plugins/jqvmap/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 200 47620
62.24.122.22 - root [30/Jan/2019:09:59:39 +0300] "GET /aua/assets/global/plugins/bootstrap-datepicker/js/bootstrap-datepicker.min.js HTTP/1.1" 200 29180
62.24.122.22 - root [30/Jan/2019:09:59:39 +0300] "GET /aua/assets/global/plugins/ckeditor/ckeditor.js HTTP/1.1" 200 527936
62.24.122.22 - root [30/Jan/2019:09:59:39 +0300] "GET /aua/assets/global/plugins/jquery-inputmask/jquery.inputmask.bundle.min.js HTTP/1.1" 200 54883
62.24.122.22 - root [30/Jan/2019:09:59:39 +0300] "GET /aua/assets/global/plugins/select2/select2.min.js HTTP/1.1" 200 65979
62.24.122.22 - root [30/Jan/2019:09:59:39 +0300] "GET /aua/assets/global/plugins/morris/raphael-min.js HTTP/1.1" 200 91488
62.24.122.22 - root [30/Jan/2019:09:59:40 +0300] "GET /aua/assets/global/plugins/morris/morris.min.js HTTP/1.1" 200 35652
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/vendor/jquery.ui.widget.js HTTP/1.1" 200 15759
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery.sparkline.min.js HTTP/1.1" 200 43251
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/vendor/load-image.min.js HTTP/1.1" 200 16250
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/vendor/canvas-to-blob.min.js HTTP/1.1" 200 1028
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.iframe-transport.js HTTP/1.1" 200 10612
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload.js HTTP/1.1" 200 62987
62.24.122.22 - root [30/Jan/2019:09:59:41 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-process.js HTTP/1.1" 200 5986
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-image.js HTTP/1.1" 200 11822
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-audio.js HTTP/1.1" 200 3364
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-video.js HTTP/1.1" 200 3364
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/global/plugins/jquery-file-upload/js/jquery.fileupload-validate.js HTTP/1.1" 200 4066
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/global/plugins/bootstrap-fileinput/bootstrap-fileinput.js HTTP/1.1" 200 6763
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/admin/layout4/scripts/layout.js HTTP/1.1" 200 18247
62.24.122.22 - root [30/Jan/2019:09:59:42 +0300] "GET /aua/assets/admin/layout4/scripts/demo.js HTTP/1.1" 200 11366
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/admin/pages/scripts/index3.js HTTP/1.1" 200 6768
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/admin/pages/scripts/tasks.js HTTP/1.1" 200 403
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/admin/pages/scripts/components-pickers.js HTTP/1.1" 200 8079
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/plugins/jquery-multi-select/js/jquery.multi-select.js HTTP/1.1" 200 19398
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/scripts/metronic.js HTTP/1.1" 200 37184
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/plugins/jquery-multi-select/js/jquery.quicksearch.js HTTP/1.1" 200 4179
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/plugins/clockface/js/clockface.js HTTP/1.1" 200 19596
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/plugins/jstree/dist/jstree.min.js HTTP/1.1" 200 110437
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/admin/pages/scripts/ui-tree.js HTTP/1.1" 200 7167
62.24.122.22 - root [30/Jan/2019:09:59:43 +0300] "GET /aua/assets/global/plugins/bootstrap-toastr/toastr.min.js HTTP/1.1" 200 3696
62.24.122.22 - root [30/Jan/2019:09:59:44 +0300] "GET /aua/assets/jqgrid/js/i18n/grid.locale-en.js HTTP/1.1" 200 6531
62.24.122.22 - root [30/Jan/2019:09:59:44 +0300] "GET /aua/assets/jqgrid/js/jquery.jqGrid.min.js HTTP/1.1" 200 261496
62.24.122.22 - root [30/Jan/2019:09:59:44 +0300] "GET /aua/assets/global/plugins/fullcalendar/fullcalendar.min.js HTTP/1.1" 200 74039
62.24.122.22 - root [30/Jan/2019:09:59:44 +0300] "GET /aua/assets/global/plugins/moment.min.js HTTP/1.1" 200 32370
62.24.122.22 - root [30/Jan/2019:09:59:44 +0300] "GET /aua/assets/jsgrid/jsgrid.min.js HTTP/1.1" 200 37211
62.24.122.22 - root [30/Jan/2019:09:59:45 +0300] "GET /aua/assets/js/attendance-task.js HTTP/1.1" 200 17669
62.24.122.22 - root [30/Jan/2019:09:59:45 +0300] "GET /aua/assets/js/grid_date.js HTTP/1.1" 200 1476
62.24.122.22 - root [30/Jan/2019:09:59:45 +0300] "GET /aua/assets/js/grid_time.js HTTP/1.1" 200 1306
62.24.122.22 - root [30/Jan/2019:09:59:45 +0300] "GET /aua/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
62.24.122.22 - root [30/Jan/2019:09:59:45 +0300] "GET /aua/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324
62.24.122.22 - root [30/Jan/2019:09:59:46 +0300] "GET /aua/assets/logos/aua.png HTTP/1.1" 200 13119
62.24.122.22 - root [30/Jan/2019:09:59:46 +0300] "GET /aua/assets/admin/layout4/img/avatar.png HTTP/1.1" 200 2016
62.24.122.22 - root [30/Jan/2019:09:59:49 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 23739
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/simple-line-icons/simple-line-icons.min.css HTTP/1.1" 200 9562
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 117305
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/uniform/css/uniform.default.css HTTP/1.1" 200 10851
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/bootstrap-switch/css/bootstrap-switch.min.css HTTP/1.1" 200 6457
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/c_umis.jsp?view=881:0 HTTP/1.1" 200 68078
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_glass_100_f6f6f6_1x400.png HTTP/1.1" 200 262
62.24.122.22 - root [30/Jan/2019:09:59:56 +0300] "GET /aua/assets/admin/layout4/css/images/ui-bg_highlight-soft_100_eeeeee_1x100.png HTTP/1.1" 404 1175
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-icons_ef8c08_256x240.png HTTP/1.1" 200 4549
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-icons_222222_256x240.png HTTP/1.1" 200 6922
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_gloss-wave_35_f6a828_500x100.png HTTP/1.1" 200 5815
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-icons_ffffff_256x240.png HTTP/1.1" 200 6299
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_glass_65_ffffff_1x400.png HTTP/1.1" 200 207
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/global/plugins/jquery-ui/images/ui-bg_glass_100_fdf5ce_1x400.png HTTP/1.1" 200 348
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/jsondata?_search=false&nd=1548830863972&rows=30&page=1&sidx=&sord=asc HTTP/1.1" 200 2
62.24.122.22 - root [30/Jan/2019:09:59:57 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
