5.219.44.185 - - [15/Feb/2019:00:08:52 +0300] "GET / HTTP/1.1" 200 32966
201.156.120.191 - - [15/Feb/2019:00:15:38 +0300] "GET / HTTP/1.1" 200 32966
185.53.88.76 - - [15/Feb/2019:01:19:27 +0300] "HEAD /robots.txt HTTP/1.0" 404 -
78.186.198.186 - - [15/Feb/2019:02:51:42 +0300] "GET / HTTP/1.1" 200 32966
184.154.47.2 - - [15/Feb/2019:03:48:57 +0300] "GET / HTTP/1.1" 200 32966
188.158.120.50 - - [15/Feb/2019:04:14:25 +0300] "GET / HTTP/1.1" 200 32966
179.106.100.232 - - [15/Feb/2019:04:29:20 +0300] "GET / HTTP/1.1" 200 32966
185.92.73.232 - - [15/Feb/2019:06:57:30 +0300] "-" 400 -
185.92.73.232 - - [15/Feb/2019:06:57:30 +0300] "-" 400 -
86.126.80.69 - - [15/Feb/2019:07:25:10 +0300] "GET / HTTP/1.1" 200 32966
94.231.180.44 - - [15/Feb/2019:08:05:03 +0300] "GET / HTTP/1.1" 200 32966
103.28.86.87 - - [15/Feb/2019:08:23:08 +0300] "GET / HTTP/1.1" 200 32966
201.33.58.85 - - [15/Feb/2019:08:58:12 +0300] "GET / HTTP/1.1" 200 32966
109.73.182.32 - - [15/Feb/2019:09:46:06 +0300] "GET / HTTP/1.0" 200 32923
85.133.184.234 - - [15/Feb/2019:09:48:49 +0300] "GET / HTTP/1.1" 200 32966
62.24.122.22 - - [15/Feb/2019:09:54:55 +0300] "GET /aua/c_umis.jsp HTTP/1.1" 200 16236
62.24.122.22 - - [15/Feb/2019:09:54:56 +0300] "GET /aua/assets/img/apple-touch-icon-144x144-precomposed.png HTTP/1.1" 404 1141
62.24.122.22 - - [15/Feb/2019:09:54:58 +0300] "POST /aua/j_security_check HTTP/1.1" 303 -
62.24.122.22 - root [15/Feb/2019:09:54:58 +0300] "GET /aua/c_umis.jsp HTTP/1.1" 200 61330
62.24.122.22 - root [15/Feb/2019:09:54:58 +0300] "GET /aua/assets/admin/pages/scripts/tasks.js HTTP/1.1" 200 403
62.24.122.22 - root [15/Feb/2019:09:54:59 +0300] "GET /aua/assets/logos/aua.png HTTP/1.1" 200 13119
62.24.122.22 - root [15/Feb/2019:09:54:59 +0300] "GET /aua/assets/jsgrid/jsgrid-theme.min.css HTTP/1.1" 200 24576
62.24.122.22 - root [15/Feb/2019:09:54:59 +0300] "GET /aua/assets/global/plugins/simple-line-icons/fonts/Simple-Line-Icons.woff HTTP/1.1" 200 59324
62.24.122.22 - root [15/Feb/2019:09:54:59 +0300] "GET /aua/assets/global/plugins/font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
62.24.122.22 - root [15/Feb/2019:09:55:00 +0300] "GET /aua/assets/logos/favicon.png HTTP/1.1" 200 4035
62.24.122.22 - - [15/Feb/2019:09:56:23 +0300] "GET /aua HTTP/1.1" 302 -
62.24.122.22 - - [15/Feb/2019:09:56:23 +0300] "GET /aua/ HTTP/1.1" 200 32966
62.24.122.22 - - [15/Feb/2019:09:56:23 +0300] "GET /aua/assets/css/base.css HTTP/1.1" 200 1182
62.24.122.22 - - [15/Feb/2019:09:56:23 +0300] "GET /aua/assets/js/layerslider/css/layerslider.css HTTP/1.1" 200 15822
